Fecha;Precio;Generación
01/06/2016;Bajo;Renovable Alto
02/06/2016;Bajo;Renovable Medio
03/06/2016;Bajo;Renovable Medio
04/06/2016;Bajo;Renovable Medio
05/06/2016;Bajo;Renovable Bajo
06/06/2016;Medio;Renovable Medio
07/06/2016;Medio;Renovable Bajo
08/06/2016;Bajo;Renovable Bajo
09/06/2016;Bajo;Renovable Bajo
10/06/2016;Bajo;Renovable Medio
11/06/2016;Bajo;Renovable Medio
12/06/2016;Bajo;Renovable Medio
13/06/2016;Bajo;Renovable Alto
14/06/2016;Bajo;Renovable Alto
15/06/2016;Bajo;Renovable Alto
16/06/2016;Bajo;Renovable Alto
17/06/2016;Medio;Renovable Medio
18/06/2016;Bajo;Renovable Medio
19/06/2016;Bajo;Renovable Medio
20/06/2016;Bajo;Renovable Medio
21/06/2016;Bajo;Renovable Medio
22/06/2016;Bajo;Renovable Medio
23/06/2016;Bajo;Renovable Medio
24/06/2016;Bajo;Renovable Medio
25/06/2016;Bajo;Renovable Alto
26/06/2016;Bajo;Renovable Alto
27/06/2016;Bajo;Renovable Medio
28/06/2016;Bajo;Renovable Bajo
29/06/2016;Medio;Renovable Bajo
30/06/2016;Medio;Renovable Bajo
01/07/2016;Bajo;Renovable Bajo
02/07/2016;Bajo;Renovable Bajo
03/07/2016;Bajo;Renovable Medio
04/07/2016;Bajo;Renovable Bajo
05/07/2016;Bajo;Renovable Bajo
06/07/2016;Bajo;Renovable Bajo
07/07/2016;Bajo;Renovable Bajo
08/07/2016;Bajo;Renovable Bajo
09/07/2016;Bajo;Renovable Bajo
10/07/2016;Bajo;Renovable Bajo
11/07/2016;Bajo;Renovable Bajo
12/07/2016;Bajo;Renovable Bajo
13/07/2016;Bajo;Renovable Medio
14/07/2016;Bajo;Renovable Medio
15/07/2016;Bajo;Renovable Medio
16/07/2016;Bajo;Renovable Medio
17/07/2016;Bajo;Renovable Bajo
18/07/2016;Bajo;Renovable Medio
19/07/2016;Bajo;Renovable Bajo
20/07/2016;Bajo;Renovable Bajo
21/07/2016;Medio;Renovable Bajo
22/07/2016;Bajo;Renovable Medio
23/07/2016;Bajo;Renovable Medio
24/07/2016;Bajo;Renovable Medio
25/07/2016;Bajo;Renovable Medio
26/07/2016;Bajo;Renovable Medio
27/07/2016;Bajo;Renovable Medio
28/07/2016;Bajo;Renovable Bajo
29/07/2016;Medio;Renovable Bajo
30/07/2016;Bajo;Renovable Bajo
31/07/2016;Bajo;Renovable Medio
01/08/2016;Medio;Renovable Bajo
02/08/2016;Bajo;Renovable Bajo
03/08/2016;Medio;Renovable Bajo
04/08/2016;Bajo;Renovable Bajo
05/08/2016;Bajo;Renovable Medio
06/08/2016;Bajo;Renovable Medio
07/08/2016;Bajo;Renovable Medio
08/08/2016;Bajo;Renovable Medio
09/08/2016;Bajo;Renovable Alto
10/08/2016;Bajo;Renovable Alto
11/08/2016;Bajo;Renovable Alto
12/08/2016;Bajo;Renovable Medio
13/08/2016;Bajo;Renovable Medio
14/08/2016;Bajo;Renovable Medio
15/08/2016;Bajo;Renovable Bajo
16/08/2016;Medio;Renovable Bajo
17/08/2016;Medio;Renovable Bajo
18/08/2016;Medio;Renovable Bajo
19/08/2016;Medio;Renovable Bajo
20/08/2016;Bajo;Renovable Medio
21/08/2016;Bajo;Renovable Medio
22/08/2016;Bajo;Renovable Bajo
23/08/2016;Bajo;Renovable Bajo
24/08/2016;Bajo;Renovable Medio
25/08/2016;Bajo;Renovable Medio
26/08/2016;Bajo;Renovable Bajo
27/08/2016;Medio;Renovable Bajo
28/08/2016;Bajo;Renovable Bajo
29/08/2016;Bajo;Renovable Medio
30/08/2016;Medio;Renovable Bajo
31/08/2016;Medio;Renovable Bajo
01/09/2016;Medio;Renovable Bajo
02/09/2016;Medio;Renovable Bajo
03/09/2016;Bajo;Renovable Bajo
04/09/2016;Bajo;Renovable Bajo
05/09/2016;Medio;Renovable Bajo
06/09/2016;Medio;Renovable Bajo
07/09/2016;Medio;Renovable Bajo
08/09/2016;Medio;Renovable Bajo
09/09/2016;Medio;Renovable Bajo
10/09/2016;Bajo;Renovable Bajo
11/09/2016;Bajo;Renovable Bajo
12/09/2016;Medio;Renovable Bajo
13/09/2016;Medio;Renovable Bajo
14/09/2016;Bajo;Renovable Bajo
15/09/2016;Medio;Renovable Medio
16/09/2016;Bajo;Renovable Medio
17/09/2016;Bajo;Renovable Medio
18/09/2016;Bajo;Renovable Medio
19/09/2016;Bajo;Renovable Bajo
20/09/2016;Medio;Renovable Bajo
21/09/2016;Medio;Renovable Bajo
