Fecha;Precio;Generación
23/11/2017;Alto;Renovable Bajo
24/11/2017;Alto;Renovable Bajo
25/11/2017;Alto;Renovable Bajo
26/11/2017;Alto;Renovable Bajo
27/11/2017;Alto;Renovable Bajo
28/11/2017;Alto;Renovable Bajo
29/11/2017;Alto;Renovable Bajo
30/11/2017;Alto;Renovable Bajo
01/12/2017;Alto;Renovable Medio
02/12/2017;Alto;Renovable Medio
03/12/2017;Alto;Renovable Bajo
04/12/2017;Alto;Renovable Bajo
05/12/2017;Alto;Renovable Bajo
06/12/2017;Alto;Renovable Bajo
07/12/2017;Alto;Renovable Bajo
08/12/2017;Alto;Renovable Bajo
09/12/2017;Alto;Renovable Bajo
10/12/2017;Medio;Renovable Alto
11/12/2017;Medio;Renovable Medio
12/12/2017;Alto;Renovable Bajo
13/12/2017;Alto;Renovable Bajo
14/12/2017;Alto;Renovable Medio
15/12/2017;Alto;Renovable Medio
16/12/2017;Alto;Renovable Bajo
17/12/2017;Alto;Renovable Bajo
18/12/2017;Alto;Renovable Bajo
19/12/2017;Alto;Renovable Bajo
20/12/2017;Alto;Renovable Bajo
21/12/2017;Alto;Renovable Bajo
22/12/2017;Alto;Renovable Bajo
23/12/2017;Alto;Renovable Bajo
24/12/2017;Medio;Renovable Bajo
25/12/2017;Medio;Renovable Bajo
26/12/2017;Medio;Renovable Medio
27/12/2017;Medio;Renovable Alto
28/12/2017;Medio;Renovable Alto
29/12/2017;Medio;Renovable Alto
30/12/2017;Medio;Renovable Alto
31/12/2017;Bajo;Renovable Alto
01/01/2018;Bajo;Renovable Alto
02/01/2018;Bajo;Renovable Alto
03/01/2018;Bajo;Renovable Alto
04/01/2018;Bajo;Renovable Alto
05/01/2018;Medio;Renovable Alto
06/01/2018;Medio;Renovable Medio
07/01/2018;Medio;Renovable Bajo
08/01/2018;Alto;Renovable Bajo
09/01/2018;Alto;Renovable Bajo
10/01/2018;Medio;Renovable Medio
11/01/2018;Medio;Renovable Medio
12/01/2018;Alto;Renovable Bajo
13/01/2018;Alto;Renovable Bajo
14/01/2018;Medio;Renovable Bajo
15/01/2018;Alto;Renovable Bajo
16/01/2018;Medio;Renovable Medio
17/01/2018;Medio;Renovable Medio
18/01/2018;Alto;Renovable Bajo
19/01/2018;Medio;Renovable Bajo
20/01/2018;Medio;Renovable Alto
21/01/2018;Medio;Renovable Alto
22/01/2018;Medio;Renovable Medio
23/01/2018;Alto;Renovable Bajo
24/01/2018;Alto;Renovable Bajo
25/01/2018;Medio;Renovable Bajo
26/01/2018;Medio;Renovable Alto
27/01/2018;Medio;Renovable Medio
28/01/2018;Medio;Renovable Medio
29/01/2018;Medio;Renovable Bajo
30/01/2018;Medio;Renovable Bajo
31/01/2018;Alto;Renovable Bajo
01/02/2018;Medio;Renovable Bajo
02/02/2018;Medio;Renovable Medio
03/02/2018;Medio;Renovable Medio
04/02/2018;Medio;Renovable Bajo
05/02/2018;Medio;Renovable Bajo
06/02/2018;Medio;Renovable Medio
07/02/2018;Medio;Renovable Medio
08/02/2018;Alto;Renovable Bajo
09/02/2018;Alto;Renovable Bajo
10/02/2018;Medio;Renovable Medio
11/02/2018;Medio;Renovable Medio
12/02/2018;Medio;Renovable Medio
13/02/2018;Medio;Renovable Medio
14/02/2018;Medio;Renovable Alto
15/02/2018;Medio;Renovable Medio
16/02/2018;Alto;Renovable Bajo
17/02/2018;Medio;Renovable Medio
18/02/2018;Medio;Renovable Medio
19/02/2018;Alto;Renovable Medio
20/02/2018;Medio;Renovable Alto
21/02/2018;Medio;Renovable Alto
22/02/2018;Medio;Renovable Medio
23/02/2018;Alto;Renovable Bajo
24/02/2018;Alto;Renovable Bajo
25/02/2018;Alto;Renovable Bajo
26/02/2018;Alto;Renovable Medio
27/02/2018;Alto;Renovable Medio
28/02/2018;Alto;Renovable Medio
01/03/2018;Medio;Renovable Alto
02/03/2018;Medio;Renovable Alto
03/03/2018;Medio;Renovable Muy Alto
04/03/2018;Medio;Renovable Alto
05/03/2018;Medio;Renovable Alto
06/03/2018;Medio;Renovable Alto
07/03/2018;Medio;Renovable Medio
08/03/2018;Medio;Renovable Medio
09/03/2018;Medio;Renovable Alto
10/03/2018;Bajo;Renovable Muy Alto
11/03/2018;Bajo;Renovable Muy Alto
12/03/2018;Bajo;Renovable Muy Alto
13/03/2018;Medio;Renovable Alto
14/03/2018;Bajo;Renovable Muy Alto
15/03/2018;Bajo;Renovable Muy Alto
16/03/2018;Medio;Renovable Alto
17/03/2018;Medio;Renovable Alto
18/03/2018;Medio;Renovable Alto
19/03/2018;Medio;Renovable Muy Alto
20/03/2018;Bajo;Renovable Muy Alto
21/03/2018;Medio;Renovable Muy Alto
22/03/2018;Medio;Renovable Muy Alto
23/03/2018;Medio;Renovable Muy Alto
24/03/2018;Bajo;Renovable Muy Alto
25/03/2018;Medio;Renovable Muy Alto
26/03/2018;Medio;Renovable Alto
27/03/2018;Medio;Renovable Alto
28/03/2018;Medio;Renovable Alto
29/03/2018;Bajo;Renovable Muy Alto
30/03/2018;Bajo;Renovable Muy Alto
31/03/2018;Bajo;Renovable Muy Alto
01/04/2018;Bajo;Renovable Alto
02/04/2018;Bajo;Renovable Alto
03/04/2018;Bajo;Renovable Muy Alto
04/04/2018;Bajo;Renovable Muy Alto
05/04/2018;Medio;Renovable Alto
06/04/2018;Bajo;Renovable Alto
07/04/2018;Medio;Renovable Alto
08/04/2018;Bajo;Renovable Alto
09/04/2018;Medio;Renovable Alto
10/04/2018;Medio;Renovable Alto
11/04/2018;Bajo;Renovable Muy Alto
12/04/2018;Medio;Renovable Alto
13/04/2018;Alto;Renovable Medio
14/04/2018;Medio;Renovable Medio
15/04/2018;Medio;Renovable Alto
16/04/2018;Medio;Renovable Alto
17/04/2018;Medio;Renovable Medio
18/04/2018;Medio;Renovable Alto
19/04/2018;Medio;Renovable Alto
20/04/2018;Medio;Renovable Alto
21/04/2018;Medio;Renovable Alto
22/04/2018;Medio;Renovable Alto
23/04/2018;Medio;Renovable Medio
24/04/2018;Medio;Renovable Alto
25/04/2018;Medio;Renovable Alto
26/04/2018;Medio;Renovable Alto
27/04/2018;Medio;Renovable Alto
28/04/2018;Medio;Renovable Alto
29/04/2018;Bajo;Renovable Alto
30/04/2018;Medio;Renovable Alto
01/05/2018;Medio;Renovable Medio
02/05/2018;Medio;Renovable Alto
03/05/2018;Medio;Renovable Muy Alto
04/05/2018;Medio;Renovable Muy Alto
05/05/2018;Medio;Renovable Alto
06/05/2018;Medio;Renovable Medio
07/05/2018;Alto;Renovable Medio
08/05/2018;Alto;Renovable Medio
09/05/2018;Medio;Renovable Medio
10/05/2018;Medio;Renovable Alto
11/05/2018;Alto;Renovable Medio
12/05/2018;Medio;Renovable Alto
13/05/2018;Bajo;Renovable Alto
14/05/2018;Medio;Renovable Alto
15/05/2018;Medio;Renovable Alto
16/05/2018;Medio;Renovable Alto
17/05/2018;Medio;Renovable Medio
18/05/2018;Medio;Renovable Medio
19/05/2018;Alto;Renovable Medio
20/05/2018;Alto;Renovable Bajo
21/05/2018;Alto;Renovable Bajo
22/05/2018;Alto;Renovable Bajo
23/05/2018;Alto;Renovable Bajo
24/05/2018;Alto;Renovable Bajo
25/05/2018;Alto;Renovable Medio
26/05/2018;Alto;Renovable Bajo
27/05/2018;Alto;Renovable Bajo
28/05/2018;Alto;Renovable Bajo
29/05/2018;Alto;Renovable Bajo
30/05/2018;Alto;Renovable Bajo
31/05/2018;Alto;Renovable Bajo
01/06/2018;Alto;Renovable Bajo
02/06/2018;Alto;Renovable Bajo
03/06/2018;Medio;Renovable Medio
04/06/2018;Alto;Renovable Medio
05/06/2018;Alto;Renovable Bajo
06/06/2018;Alto;Renovable Bajo
07/06/2018;Alto;Renovable Bajo
08/06/2018;Alto;Renovable Bajo
09/06/2018;Alto;Renovable Medio
10/06/2018;Alto;Renovable Medio
11/06/2018;Alto;Renovable Medio
12/06/2018;Medio;Renovable Alto
13/06/2018;Medio;Renovable Alto
14/06/2018;Alto;Renovable Medio
15/06/2018;Medio;Renovable Medio
16/06/2018;Medio;Renovable Medio
17/06/2018;Medio;Renovable Alto
18/06/2018;Medio;Renovable Alto
19/06/2018;Medio;Renovable Alto
20/06/2018;Alto;Renovable Medio
21/06/2018;Alto;Renovable Medio
22/06/2018;Alto;Renovable Medio
23/06/2018;Alto;Renovable Medio
24/06/2018;Alto;Renovable Medio
25/06/2018;Alto;Renovable Bajo
26/06/2018;Alto;Renovable Bajo
27/06/2018;Alto;Renovable Bajo
28/06/2018;Alto;Renovable Bajo
29/06/2018;Alto;Renovable Bajo
30/06/2018;Alto;Renovable Medio
01/07/2018;Alto;Renovable Bajo
02/07/2018;Alto;Renovable Bajo
03/07/2018;Alto;Renovable Bajo
04/07/2018;Alto;Renovable Medio
05/07/2018;Alto;Renovable Medio
06/07/2018;Alto;Renovable Bajo
07/07/2018;Alto;Renovable Bajo
08/07/2018;Alto;Renovable Medio
09/07/2018;Alto;Renovable Medio
10/07/2018;Alto;Renovable Medio
11/07/2018;Alto;Renovable Medio
12/07/2018;Alto;Renovable Bajo
13/07/2018;Alto;Renovable Bajo
14/07/2018;Alto;Renovable Bajo
15/07/2018;Alto;Renovable Bajo
16/07/2018;Alto;Renovable Medio
17/07/2018;Alto;Renovable Bajo
18/07/2018;Alto;Renovable Medio
19/07/2018;Alto;Renovable Bajo
20/07/2018;Alto;Renovable Medio
21/07/2018;Alto;Renovable Bajo
22/07/2018;Alto;Renovable Bajo
23/07/2018;Alto;Renovable Bajo
24/07/2018;Alto;Renovable Bajo
25/07/2018;Alto;Renovable Bajo
26/07/2018;Alto;Renovable Bajo
27/07/2018;Alto;Renovable Bajo
28/07/2018;Alto;Renovable Bajo
29/07/2018;Alto;Renovable Medio
30/07/2018;Alto;Renovable Bajo
31/07/2018;Alto;Renovable Bajo
01/08/2018;Alto;Renovable Bajo
02/08/2018;Alto;Renovable Bajo
03/08/2018;Alto;Renovable Bajo
04/08/2018;Alto;Renovable Bajo
05/08/2018;Alto;Renovable Bajo
06/08/2018;Alto;Renovable Bajo
07/08/2018;Alto;Renovable Bajo
08/08/2018;Alto;Renovable Bajo
09/08/2018;Alto;Renovable Bajo
10/08/2018;Alto;Renovable Bajo
11/08/2018;Alto;Renovable Bajo
12/08/2018;Alto;Renovable Bajo
13/08/2018;Alto;Renovable Bajo
14/08/2018;Alto;Renovable Medio
15/08/2018;Alto;Renovable Bajo
16/08/2018;Alto;Renovable Bajo
17/08/2018;Alto;Renovable Medio
18/08/2018;Alto;Renovable Medio
19/08/2018;Alto;Renovable Medio
20/08/2018;Alto;Renovable Medio
21/08/2018;Alto;Renovable Bajo
22/08/2018;Alto;Renovable Bajo
23/08/2018;Alto;Renovable Bajo
24/08/2018;Alto;Renovable Bajo
25/08/2018;Alto;Renovable Bajo
26/08/2018;Alto;Renovable Bajo
27/08/2018;Alto;Renovable Bajo
28/08/2018;Alto;Renovable Bajo
29/08/2018;Alto;Renovable Bajo
30/08/2018;Alto;Renovable Bajo
31/08/2018;Alto;Renovable Bajo
01/09/2018;Alto;Renovable Bajo
02/09/2018;Alto;Renovable Bajo
03/09/2018;Alto;Renovable Bajo
04/09/2018;Alto;Renovable Bajo
05/09/2018;Alto;Renovable Bajo
06/09/2018;Alto;Renovable Bajo
07/09/2018;Alto;Renovable Bajo
08/09/2018;Alto;Renovable Bajo
09/09/2018;Alto;Renovable Bajo
10/09/2018;Alto;Renovable Bajo
11/09/2018;Alto;Renovable Bajo
12/09/2018;Alto;Renovable Bajo
13/09/2018;Alto;Renovable Bajo
14/09/2018;Alto;Renovable Bajo
15/09/2018;Alto;Renovable Bajo
16/09/2018;Alto;Renovable Bajo
17/09/2018;Alto;Renovable Bajo
18/09/2018;Alto;Renovable Bajo
19/09/2018;Alto;Renovable Bajo
20/09/2018;Alto;Renovable Bajo
21/09/2018;Alto;Renovable Bajo
22/09/2018;Alto;Renovable Bajo
23/09/2018;Alto;Renovable Bajo
24/09/2018;Alto;Renovable Medio
25/09/2018;Alto;Renovable Medio
26/09/2018;Alto;Renovable Medio
27/09/2018;Alto;Renovable Bajo
28/09/2018;Alto;Renovable Bajo
29/09/2018;Alto;Renovable Bajo
30/09/2018;Alto;Renovable Bajo
01/10/2018;Alto;Renovable Medio
02/10/2018;Alto;Renovable Medio
03/10/2018;Alto;Renovable Medio
04/10/2018;Alto;Renovable Bajo
05/10/2018;Alto;Renovable Bajo
06/10/2018;Alto;Renovable Medio
07/10/2018;Alto;Renovable Medio
08/10/2018;Alto;Renovable Bajo
09/10/2018;Alto;Renovable Bajo
10/10/2018;Alto;Renovable Bajo
11/10/2018;Alto;Renovable Bajo
12/10/2018;Alto;Renovable Medio
13/10/2018;Alto;Renovable Medio
14/10/2018;Medio;Renovable Medio
15/10/2018;Alto;Renovable Bajo
16/10/2018;Alto;Renovable Bajo
17/10/2018;Alto;Renovable Bajo
18/10/2018;Alto;Renovable Bajo
19/10/2018;Alto;Renovable Medio
20/10/2018;Alto;Renovable Medio
21/10/2018;Alto;Renovable Bajo
22/10/2018;Alto;Renovable Medio
23/10/2018;Alto;Renovable Bajo
24/10/2018;Alto;Renovable Bajo
25/10/2018;Alto;Renovable Bajo
26/10/2018;Alto;Renovable Bajo
27/10/2018;Alto;Renovable Medio
28/10/2018;Medio;Renovable Medio
29/10/2018;Alto;Renovable Alto
30/10/2018;Alto;Renovable Medio
31/10/2018;Alto;Renovable Bajo
01/11/2018;Alto;Renovable Bajo
02/11/2018;Alto;Renovable Bajo
03/11/2018;Alto;Renovable Bajo
04/11/2018;Alto;Renovable Bajo
05/11/2018;Alto;Renovable Medio
06/11/2018;Alto;Renovable Alto
07/11/2018;Alto;Renovable Medio
08/11/2018;Alto;Renovable Bajo
09/11/2018;Alto;Renovable Alto
10/11/2018;Medio;Renovable Alto
11/11/2018;Medio;Renovable Medio
12/11/2018;Alto;Renovable Bajo
13/11/2018;Alto;Renovable Bajo
14/11/2018;Alto;Renovable Bajo
15/11/2018;Alto;Renovable Bajo
16/11/2018;Alto;Renovable Bajo
17/11/2018;Alto;Renovable Bajo
18/11/2018;Alto;Renovable Medio
19/11/2018;Alto;Renovable Bajo
20/11/2018;Alto;Renovable Bajo
21/11/2018;Alto;Renovable Bajo
22/11/2018;Alto;Renovable Bajo
23/11/2018;Alto;Renovable Bajo
24/11/2018;Alto;Renovable Medio
25/11/2018;Alto;Renovable Medio
26/11/2018;Alto;Renovable Alto
27/11/2018;Alto;Renovable Medio
28/11/2018;Alto;Renovable Bajo
29/11/2018;Alto;Renovable Bajo
30/11/2018;Alto;Renovable Medio
01/12/2018;Alto;Renovable Medio
02/12/2018;Alto;Renovable Alto
03/12/2018;Alto;Renovable Medio
04/12/2018;Alto;Renovable Bajo
05/12/2018;Alto;Renovable Bajo
06/12/2018;Alto;Renovable Medio
07/12/2018;Alto;Renovable Medio
08/12/2018;Alto;Renovable Medio
09/12/2018;Alto;Renovable Medio
10/12/2018;Alto;Renovable Bajo
11/12/2018;Alto;Renovable Bajo
12/12/2018;Alto;Renovable Bajo
13/12/2018;Alto;Renovable Alto
14/12/2018;Alto;Renovable Alto
15/12/2018;Alto;Renovable Alto
16/12/2018;Alto;Renovable Alto
17/12/2018;Alto;Renovable Medio
18/12/2018;Alto;Renovable Medio
19/12/2018;Alto;Renovable Medio
20/12/2018;Alto;Renovable Medio
21/12/2018;Alto;Renovable Medio
22/12/2018;Alto;Renovable Bajo
23/12/2018;Alto;Renovable Bajo
24/12/2018;Alto;Renovable Bajo
25/12/2018;Alto;Renovable Bajo
26/12/2018;Alto;Renovable Bajo
27/12/2018;Alto;Renovable Bajo
28/12/2018;Alto;Renovable Bajo
29/12/2018;Alto;Renovable Medio
30/12/2018;Alto;Renovable Medio
31/12/2018;Alto;Renovable Bajo
01/01/2019;Alto;Renovable Bajo
02/01/2019;Alto;Renovable Medio
03/01/2019;Alto;Renovable Bajo
04/01/2019;Alto;Renovable Bajo
05/01/2019;Alto;Renovable Bajo
06/01/2019;Alto;Renovable Medio
07/01/2019;Alto;Renovable Medio
08/01/2019;Alto;Renovable Bajo
09/01/2019;Alto;Renovable Medio
10/01/2019;Alto;Renovable Medio
11/01/2019;Alto;Renovable Medio
12/01/2019;Alto;Renovable Medio
13/01/2019;Alto;Renovable Medio
14/01/2019;Alto;Renovable Bajo
15/01/2019;Alto;Renovable Bajo
16/01/2019;Alto;Renovable Bajo
17/01/2019;Alto;Renovable Bajo
18/01/2019;Alto;Renovable Bajo
19/01/2019;Alto;Renovable Bajo
20/01/2019;Alto;Renovable Medio
21/01/2019;Alto;Renovable Medio
22/01/2019;Alto;Renovable Medio
23/01/2019;Alto;Renovable Alto
24/01/2019;Alto;Renovable Alto
25/01/2019;Alto;Renovable Alto
26/01/2019;Alto;Renovable Bajo
27/01/2019;Medio;Renovable Alto
28/01/2019;Medio;Renovable Alto
29/01/2019;Alto;Renovable Alto
30/01/2019;Alto;Renovable Alto
31/01/2019;Medio;Renovable Muy Alto
01/02/2019;Medio;Renovable Muy Alto
02/02/2019;Bajo;Renovable Muy Alto
03/02/2019;Medio;Renovable Alto
04/02/2019;Alto;Renovable Medio
05/02/2019;Alto;Renovable Bajo
06/02/2019;Alto;Renovable Bajo
07/02/2019;Alto;Renovable Bajo
08/02/2019;Medio;Renovable Medio
09/02/2019;Medio;Renovable Medio
10/02/2019;Bajo;Renovable Alto
11/02/2019;Medio;Renovable Bajo
12/02/2019;Alto;Renovable Bajo
13/02/2019;Alto;Renovable Bajo
14/02/2019;Medio;Renovable Medio
15/02/2019;Medio;Renovable Bajo
16/02/2019;Medio;Renovable Medio
17/02/2019;Medio;Renovable Medio
18/02/2019;Medio;Renovable Bajo
19/02/2019;Alto;Renovable Bajo
20/02/2019;Alto;Renovable Bajo
21/02/2019;Medio;Renovable Bajo
22/02/2019;Medio;Renovable Bajo
23/02/2019;Medio;Renovable Bajo
24/02/2019;Medio;Renovable Bajo
25/02/2019;Medio;Renovable Bajo
26/02/2019;Medio;Renovable Bajo
27/02/2019;Medio;Renovable Bajo
28/02/2019;Medio;Renovable Bajo
01/03/2019;Medio;Renovable Bajo
02/03/2019;Medio;Renovable Medio
03/03/2019;Medio;Renovable Medio
04/03/2019;Bajo;Renovable Alto
05/03/2019;Medio;Renovable Medio
06/03/2019;Bajo;Renovable Alto
07/03/2019;Medio;Renovable Medio
08/03/2019;Medio;Renovable Bajo
09/03/2019;Medio;Renovable Medio
10/03/2019;Medio;Renovable Medio
11/03/2019;Medio;Renovable Medio
12/03/2019;Medio;Renovable Medio
13/03/2019;Medio;Renovable Alto
14/03/2019;Medio;Renovable Medio
15/03/2019;Medio;Renovable Medio
16/03/2019;Medio;Renovable Medio
17/03/2019;Bajo;Renovable Alto
18/03/2019;Medio;Renovable Medio
19/03/2019;Medio;Renovable Medio
20/03/2019;Medio;Renovable Medio
21/03/2019;Medio;Renovable Medio
22/03/2019;Medio;Renovable Medio
23/03/2019;Medio;Renovable Bajo
24/03/2019;Medio;Renovable Medio
25/03/2019;Medio;Renovable Alto
26/03/2019;Bajo;Renovable Alto
27/03/2019;Medio;Renovable Alto
28/03/2019;Medio;Renovable Medio
29/03/2019;Medio;Renovable Medio
30/03/2019;Medio;Renovable Medio
31/03/2019;Medio;Renovable Bajo
01/04/2019;Alto;Renovable Bajo
02/04/2019;Alto;Renovable Bajo
03/04/2019;Medio;Renovable Medio
04/04/2019;Medio;Renovable Medio
05/04/2019;Medio;Renovable Medio
06/04/2019;Medio;Renovable Alto
07/04/2019;Medio;Renovable Alto
08/04/2019;Medio;Renovable Medio
09/04/2019;Medio;Renovable Alto
10/04/2019;Medio;Renovable Medio
11/04/2019;Medio;Renovable Medio
12/04/2019;Medio;Renovable Medio
13/04/2019;Alto;Renovable Bajo
14/04/2019;Medio;Renovable Bajo
15/04/2019;Alto;Renovable Medio
16/04/2019;Medio;Renovable Bajo
17/04/2019;Medio;Renovable Alto
18/04/2019;Medio;Renovable Bajo
19/04/2019;Bajo;Renovable Medio
20/04/2019;Bajo;Renovable Alto
21/04/2019;Medio;Renovable Medio
22/04/2019;Medio;Renovable Bajo
23/04/2019;Medio;Renovable Medio
24/04/2019;Bajo;Renovable Alto
25/04/2019;Bajo;Renovable Alto
26/04/2019;Medio;Renovable Medio
27/04/2019;Alto;Renovable Medio
28/04/2019;Medio;Renovable Medio
29/04/2019;Alto;Renovable Bajo
30/04/2019;Alto;Renovable Bajo
01/05/2019;Medio;Renovable Medio
02/05/2019;Medio;Renovable Alto
03/05/2019;Medio;Renovable Medio
04/05/2019;Medio;Renovable Alto
05/05/2019;Bajo;Renovable Alto
06/05/2019;Medio;Renovable Bajo
07/05/2019;Medio;Renovable Medio
08/05/2019;Bajo;Renovable Muy Alto
09/05/2019;Medio;Renovable Alto
10/05/2019;Medio;Renovable Alto
11/05/2019;Medio;Renovable Medio
12/05/2019;Bajo;Renovable Alto
13/05/2019;Medio;Renovable Alto
14/05/2019;Medio;Renovable Medio
15/05/2019;Medio;Renovable Medio
16/05/2019;Medio;Renovable Medio
17/05/2019;Bajo;Renovable Muy Alto
18/05/2019;Medio;Renovable Medio
19/05/2019;Medio;Renovable Medio
20/05/2019;Medio;Renovable Bajo
21/05/2019;Medio;Renovable Bajo
22/05/2019;Medio;Renovable Bajo
23/05/2019;Medio;Renovable Bajo
24/05/2019;Medio;Renovable Medio
25/05/2019;Medio;Renovable Alto
26/05/2019;Bajo;Renovable Alto
27/05/2019;Medio;Renovable Medio
28/05/2019;Medio;Renovable Alto
29/05/2019;Medio;Renovable Medio
30/05/2019;Medio;Renovable Medio
31/05/2019;Medio;Renovable Bajo
01/06/2019;Medio;Renovable Bajo
02/06/2019;Medio;Renovable Medio
03/06/2019;Medio;Renovable Bajo
04/06/2019;Medio;Renovable Medio
05/06/2019;Medio;Renovable Medio
06/06/2019;Bajo;Renovable Medio
07/06/2019;Bajo;Renovable Medio
08/06/2019;Medio;Renovable Medio
09/06/2019;Medio;Renovable Medio
10/06/2019;Medio;Renovable Medio
11/06/2019;Medio;Renovable Medio
12/06/2019;Medio;Renovable Bajo
13/06/2019;Medio;Renovable Bajo
14/06/2019;Medio;Renovable Bajo
15/06/2019;Medio;Renovable Bajo
16/06/2019;Medio;Renovable Bajo
17/06/2019;Medio;Renovable Bajo
18/06/2019;Medio;Renovable Medio
19/06/2019;Medio;Renovable Bajo
20/06/2019;Medio;Renovable Bajo
21/06/2019;Medio;Renovable Bajo
22/06/2019;Medio;Renovable Bajo
23/06/2019;Bajo;Renovable Medio
24/06/2019;Medio;Renovable Bajo
25/06/2019;Medio;Renovable Bajo
26/06/2019;Medio;Renovable Medio
27/06/2019;Medio;Renovable Medio
28/06/2019;Medio;Renovable Bajo
29/06/2019;Medio;Renovable Bajo
30/06/2019;Medio;Renovable Bajo
01/07/2019;Medio;Renovable Bajo
02/07/2019;Medio;Renovable Bajo
03/07/2019;Medio;Renovable Bajo
04/07/2019;Medio;Renovable Bajo
05/07/2019;Medio;Renovable Bajo
06/07/2019;Medio;Renovable Bajo
07/07/2019;Medio;Renovable Bajo
08/07/2019;Medio;Renovable Bajo
09/07/2019;Medio;Renovable Bajo
10/07/2019;Medio;Renovable Bajo
11/07/2019;Medio;Renovable Bajo
12/07/2019;Medio;Renovable Bajo
13/07/2019;Medio;Renovable Bajo
14/07/2019;Medio;Renovable Medio
15/07/2019;Medio;Renovable Bajo
16/07/2019;Medio;Renovable Bajo
17/07/2019;Medio;Renovable Bajo
18/07/2019;Medio;Renovable Bajo
19/07/2019;Medio;Renovable Bajo
20/07/2019;Medio;Renovable Bajo
21/07/2019;Medio;Renovable Bajo
22/07/2019;Medio;Renovable Bajo
23/07/2019;Medio;Renovable Bajo
24/07/2019;Medio;Renovable Bajo
25/07/2019;Medio;Renovable Bajo
26/07/2019;Medio;Renovable Bajo
27/07/2019;Medio;Renovable Medio
28/07/2019;Medio;Renovable Bajo
29/07/2019;Medio;Renovable Bajo
30/07/2019;Medio;Renovable Bajo
31/07/2019;Medio;Renovable Bajo
01/08/2019;Medio;Renovable Bajo
02/08/2019;Medio;Renovable Bajo
03/08/2019;Medio;Renovable Bajo
04/08/2019;Medio;Renovable Bajo
05/08/2019;Medio;Renovable Bajo
06/08/2019;Medio;Renovable Bajo
07/08/2019;Medio;Renovable Bajo
08/08/2019;Medio;Renovable Bajo
09/08/2019;Bajo;Renovable Medio
10/08/2019;Medio;Renovable Bajo
11/08/2019;Bajo;Renovable Bajo
12/08/2019;Bajo;Renovable Bajo
13/08/2019;Bajo;Renovable Bajo
14/08/2019;Medio;Renovable Bajo
15/08/2019;Bajo;Renovable Bajo
16/08/2019;Medio;Renovable Bajo
17/08/2019;Bajo;Renovable Bajo
18/08/2019;Bajo;Renovable Medio
19/08/2019;Bajo;Renovable Bajo
20/08/2019;Bajo;Renovable Medio
21/08/2019;Bajo;Renovable Bajo
22/08/2019;Bajo;Renovable Bajo
23/08/2019;Bajo;Renovable Bajo
24/08/2019;Bajo;Renovable Bajo
25/08/2019;Bajo;Renovable Medio
26/08/2019;Bajo;Renovable Bajo
27/08/2019;Medio;Renovable Bajo
28/08/2019;Medio;Renovable Bajo
29/08/2019;Medio;Renovable Bajo
30/08/2019;Medio;Renovable Bajo
31/08/2019;Medio;Renovable Bajo
01/09/2019;Bajo;Renovable Bajo
02/09/2019;Bajo;Renovable Medio
03/09/2019;Bajo;Renovable Bajo
04/09/2019;Bajo;Renovable Bajo
05/09/2019;Bajo;Renovable Medio
06/09/2019;Bajo;Renovable Alto
07/09/2019;Bajo;Renovable Alto
08/09/2019;Bajo;Renovable Bajo
09/09/2019;Bajo;Renovable Bajo
10/09/2019;Bajo;Renovable Alto
11/09/2019;Bajo;Renovable Alto
12/09/2019;Bajo;Renovable Medio
13/09/2019;Bajo;Renovable Medio
14/09/2019;Bajo;Renovable Bajo
15/09/2019;Bajo;Renovable Bajo
16/09/2019;Medio;Renovable Bajo
17/09/2019;Medio;Renovable Bajo
18/09/2019;Medio;Renovable Bajo
19/09/2019;Medio;Renovable Bajo
20/09/2019;Medio;Renovable Bajo
21/09/2019;Bajo;Renovable Bajo
22/09/2019;Bajo;Renovable Medio
23/09/2019;Medio;Renovable Bajo
24/09/2019;Bajo;Renovable Medio
25/09/2019;Bajo;Renovable Bajo
26/09/2019;Medio;Renovable Bajo
27/09/2019;Medio;Renovable Bajo
28/09/2019;Medio;Renovable Bajo
29/09/2019;Bajo;Renovable Bajo
30/09/2019;Medio;Renovable Bajo
01/10/2019;Medio;Renovable Bajo
02/10/2019;Bajo;Renovable Medio
03/10/2019;Medio;Renovable Bajo
04/10/2019;Medio;Renovable Bajo
05/10/2019;Medio;Renovable Bajo
06/10/2019;Medio;Renovable Bajo
07/10/2019;Medio;Renovable Bajo
08/10/2019;Medio;Renovable Bajo
09/10/2019;Medio;Renovable Bajo
10/10/2019;Medio;Renovable Bajo
11/10/2019;Medio;Renovable Bajo
12/10/2019;Bajo;Renovable Medio
13/10/2019;Bajo;Renovable Medio
14/10/2019;Bajo;Renovable Medio
15/10/2019;Bajo;Renovable Medio
16/10/2019;Bajo;Renovable Bajo
17/10/2019;Medio;Renovable Bajo
18/10/2019;Medio;Renovable Bajo
19/10/2019;Medio;Renovable Bajo
20/10/2019;Bajo;Renovable Bajo
21/10/2019;Medio;Renovable Bajo
22/10/2019;Medio;Renovable Bajo
23/10/2019;Medio;Renovable Bajo
24/10/2019;Medio;Renovable Medio
25/10/2019;Medio;Renovable Bajo
26/10/2019;Medio;Renovable Bajo
27/10/2019;Medio;Renovable Bajo
28/10/2019;Medio;Renovable Bajo
29/10/2019;Medio;Renovable Bajo
30/10/2019;Medio;Renovable Bajo
31/10/2019;Medio;Renovable Bajo
